0.140997,init,8,30,100000000,6
1.90192,insert,8,30,100000000,6
0.021567,weight,8,30,100000000,6
4.59569,lookup,8,30,100000000,6
0.180905,init,8,30,100000000,8
1.90291,insert,8,30,100000000,8
0.0113237,weight,8,30,100000000,8
4.69007,lookup,8,30,100000000,8
0.301077,init,8,30,100000000,16
1.99025,insert,8,30,100000000,16
0.00656787,weight,8,30,100000000,16
4.63584,lookup,8,30,100000000,16
0.100122,init,8,30,100000000,4
1.96113,insert,8,30,100000000,4
0.0215103,weight,8,30,100000000,4
4.03946,lookup,8,30,100000000,4
0.106916,init,8,30,10000000,4
0.204395,insert,8,30,10000000,4
0.0214923,weight,8,30,10000000,4
0.76955,lookup,8,30,10000000,4
0.19431,init,8,30,10000000,8
0.205423,insert,8,30,10000000,8
0.0110668,weight,8,30,10000000,8
0.573145,lookup,8,30,10000000,8
0.143421,init,8,30,10000000,6
0.190755,insert,8,30,10000000,6
0.02152,weight,8,30,10000000,6
0.698813,lookup,8,30,10000000,6
0.15682,init,8,31,10000000,6
0.194916,insert,8,31,10000000,6
0.042534,weight,8,31,10000000,6
0.700682,lookup,8,31,10000000,6
0.164828,init,8,31,10000000,6
0.196914,insert,8,31,10000000,6
0.042501,weight,8,31,10000000,6
0.698552,lookup,8,31,10000000,6
0.147968,init,8,30,10000000,6
0.191465,insert,8,30,10000000,6
0.0256062,weight,8,30,10000000,6
0.715087,lookup,8,30,10000000,6
0.168305,init,8,32,10000000,6
0.195287,insert,8,32,10000000,6
0.0844954,weight,8,32,10000000,6
0.699985,lookup,8,32,10000000,6
0.160956,init,8,32,10000000,6
0.198772,insert,8,32,10000000,6
0.0845047,weight,8,32,10000000,6
0.697113,lookup,8,32,10000000,6
0.159883,init,8,33,10000000,6
0.184936,insert,8,33,10000000,6
0.168422,weight,8,33,10000000,6
0.703667,lookup,8,33,10000000,6
0.173119,init,8,33,10000000,6
0.182296,insert,8,33,10000000,6
0.16839,weight,8,33,10000000,6
0.712124,lookup,8,33,10000000,6
0.194116,init,8,33,10000000,8
0.194663,insert,8,33,10000000,8
0.0845063,weight,8,33,10000000,8
0.420165,lookup,8,33,10000000,8
0.323534,init,8,33,10000000,16
0.262132,insert,8,33,10000000,16
0.0427513,weight,8,33,10000000,16
0.844098,lookup,8,33,10000000,16
0.108449,init,8,33,10000000,4
0.205323,insert,8,33,10000000,4
0.168391,weight,8,33,10000000,4
0.661259,lookup,8,33,10000000,4
